seed,dataset,alpha,acc,disparity,time
0,COMPAS,0.4,0.5615530303030303,0.2488479262672811,0.216194
0,COMPAS,0.4111111111111111,0.5643939393939394,0.256723517121816,0.1844540000000001
0,COMPAS,0.4222222222222222,0.6079545454545454,0.0940255160253085,0.1884769999999997
0,COMPAS,0.4333333333333333,0.6382575757575758,0.0527583090076607,0.185937
0,COMPAS,0.4444444444444445,0.6524621212121212,0.1729073747536562,0.1866130000000003
0,COMPAS,0.4555555555555555,0.6524621212121212,0.2493813623364499,0.1873519999999997
0,COMPAS,0.4666666666666667,0.6477272727272727,0.2888778579578289,0.1790920000000007
0,COMPAS,0.4777777777777777,0.6448863636363636,0.3001318772504334,0.1869650000000007
0,COMPAS,0.4888888888888889,0.6458333333333334,0.3074740320357995,0.1796509999999997
0,COMPAS,0.5,0.6439393939393939,0.3203357683702046,0.1752180000000009
1,COMPAS,0.4,0.5748106060606061,0.2517162471395881,0.171101
1,COMPAS,0.4111111111111111,0.6089015151515151,0.1463052165780046,0.174563
1,COMPAS,0.4222222222222222,0.646780303030303,0.0062254392742409,0.1814559999999998
1,COMPAS,0.4333333333333333,0.6609848484848485,0.1326380853447097,0.1778170000000001
1,COMPAS,0.4444444444444445,0.6732954545454546,0.2117980207243542,0.175606000000001
1,COMPAS,0.4555555555555555,0.6751893939393939,0.2707622466294274,0.1806089999999995
1,COMPAS,0.4666666666666667,0.6628787878787878,0.3072461303571495,0.1837569999999999
1,COMPAS,0.4777777777777777,0.665719696969697,0.312092657013046,0.1833489999999997
1,COMPAS,0.4888888888888889,0.665719696969697,0.3282477458660347,0.1743469999999991
1,COMPAS,0.5,0.665719696969697,0.3282477458660347,0.1669249999999991
2,COMPAS,0.4,0.5482954545454546,0.1881234206676419,0.1801029999999999
2,COMPAS,0.4111111111111111,0.6117424242424242,0.0712417431396018,0.185783
2,COMPAS,0.4222222222222222,0.6600378787878788,0.1138670922551757,0.1930870000000002
2,COMPAS,0.4333333333333333,0.6742424242424242,0.220552378419116,0.187721999999999
2,COMPAS,0.4444444444444445,0.6714015151515151,0.2623354169437425,0.1821479999999997
2,COMPAS,0.4555555555555555,0.6742424242424242,0.2723323136941969,0.1848259999999992
2,COMPAS,0.4666666666666667,0.6695075757575758,0.2875604025357982,0.1823219999999992
2,COMPAS,0.4777777777777777,0.6732954545454546,0.303741632309261,0.1789179999999994
2,COMPAS,0.4888888888888889,0.6732954545454546,0.303741632309261,0.1693540000000002
2,COMPAS,0.5,0.6742424242424242,0.3118322471959923,0.1654540000000004
3,COMPAS,0.4,0.5767045454545454,0.1754982147072157,0.190101
