seed,dataset,level,acc,disparity,time
0,Lawschool,0.05,0.7944160684704583,0.0728926936548373,648.910005
0,Lawschool,0.15,0.7934842628382109,0.0668268037715841,649.1509229999997
0,Lawschool,0.25,0.7935187741579238,0.0645740120611391,657.8261830000001
0,Lawschool,0.35,0.7942780231916069,0.059463788155477,659.3373259999994
0,Lawschool,0.45,0.7944160684704583,0.0613916599183737,665.734539
0,Lawschool,0.55,0.793725842076201,0.0559916227391777,694.2833170000004
0,Lawschool,0.65,0.7944850911098841,0.04718455652226,664.6677209999998
0,Lawschool,0.75,0.7943125345113197,0.0472369596458415,650.1347650000007
0,Lawschool,0.8500000000000001,0.793725842076201,0.0511790642188447,661.1819780000005
0,Lawschool,0.95,0.7944160684704583,0.0569407228285732,668.7098339999975
1,Lawschool,0.05,0.7889632799558255,0.0703686158059919,646.587085
1,Lawschool,0.15,0.7887217007178354,0.0670428608012247,648.5351419999997
1,Lawschool,0.25,0.7890668139149641,0.0712704454215671,657.3787230000003
1,Lawschool,0.35,0.7896189950303699,0.0929362137882233,665.1308660000004
1,Lawschool,0.45,0.7890323025952513,0.06785166804455,663.5025800000003
1,Lawschool,0.55,0.7890668139149641,0.0750118729158014,704.3207439999996
1,Lawschool,0.65,0.7889632799558255,0.0710654934565058,681.8577860000005
1,Lawschool,0.75,0.7872032026504694,0.0976640514501143,644.7927349999991
1,Lawschool,0.8500000000000001,0.7881004969630039,0.0810849677510552,670.3586070000019
1,Lawschool,0.95,0.7871341800110436,0.0768680855213437,667.8348509999996
2,Lawschool,0.05,0.7887907233572612,0.0730285371431896,642.6280969999999
2,Lawschool,0.15,0.7880314743235781,0.066848781453474,651.7872460000001
2,Lawschool,0.25,0.7884110988404197,0.0633831224406888,651.6190980000001
2,Lawschool,0.35,0.7878934290447267,0.0864828513958442,666.5812610000003
2,Lawschool,0.45,0.7875828271673109,0.0789970733663953,668.8606639999998
2,Lawschool,0.55,0.7884110988404197,0.0769325096135694,704.3232440000011
2,Lawschool,0.65,0.7871686913307565,0.0695450398233334,672.7548970000007
2,Lawschool,0.75,0.7840971838763114,0.1053500430719782,646.4982520000012
2,Lawschool,0.8500000000000001,0.7835450027609056,0.0922083410551228,658.1748540000008
2,Lawschool,0.95,0.7841316951960243,0.0989019045096597,675.8040250000013
3,Lawschool,0.05,0.7882385422418553,0.0765096446635926,642.075388
3,Lawschool,0.15,0.789101325234677,0.0716440817030237,650.9561450000001
3,Lawschool,0.25,0.7880314743235781,0.0707714868469109,653.689926
3,Lawschool,0.35,0.7886181667586969,0.0567899142615403,666.34688
3,Lawschool,0.45,0.7885146327995582,0.0646047960022383,669.8364770000007
3,Lawschool,0.55,0.7889977912755384,0.0673109138756894,688.7886709999993
3,Lawschool,0.65,0.7882385422418553,0.0451104139976694,673.0043839999989
3,Lawschool,0.75,0.787789895085588,0.0516994102623217,650.272375999999
3,Lawschool,0.8500000000000001,0.7868235781336278,0.0516177433696005,671.7152800000003
3,Lawschool,0.95,0.7878244064053009,0.0707204511440097,658.3280760000016
4,Lawschool,0.05,0.7897225289895086,0.06621333702984,647.295447
4,Lawschool,0.15,0.7899641082274986,0.0744016826712513,654.7717970000001
4,Lawschool,0.25,0.7905853119823302,0.0604502438663016,655.8601500000004
4,Lawschool,0.35,0.788065985643291,0.0916339785635082,676.9784010000003
4,Lawschool,0.45,0.7895844837106571,0.0780914130241637,660.5994130000008
4,Lawschool,0.55,0.7898260629486472,0.0567725563146974,696.8115830000006
4,Lawschool,0.65,0.7902401987852016,0.0528146824448119,670.2205550000008
4,Lawschool,0.75,0.79010215350635,0.0699101510322013,647.725019999998
4,Lawschool,0.8500000000000001,0.7896880176697957,0.0652107583490748,670.0554429999975
4,Lawschool,0.95,0.7900676421866372,0.0587172806989896,665.6756830000013
