seed,dataset,lambda_mmd,in_processing,acc,disparity,time
0,AdultCensus,0.0,True,0.7643485975568143,0.0,398.274806
0,AdultCensus,0.1,True,0.7643485975568143,0.0,398.401288
0,AdultCensus,0.25,True,0.8510885142974135,0.1346273674439138,384.2023690000005
0,AdultCensus,0.5,True,0.7643485975568143,0.0,424.9112209999994
0,AdultCensus,1.0,True,0.7643485975568143,0.0,423.0531699999992
0,AdultCensus,2.0,True,0.8443322186582952,0.0424166256451705,425.87545299999874
0,AdultCensus,3.0,True,0.826247184876817,0.013033463049389,429.9919830000017
0,AdultCensus,4.0,True,0.7643485975568143,0.0,423.6924650000001
0,AdultCensus,5.0,True,0.8220842148365523,0.0404536578794635,424.3757990000013
0,AdultCensus,10.0,True,0.833822425441889,0.0144406787200621,425.6779029999998
1,AdultCensus,0.0,True,0.7878250187674879,0.399822263356801,402.111726
1,AdultCensus,0.1,True,0.8065242612434314,0.2194776743676739,401.905444
1,AdultCensus,0.25,True,0.8462430901521872,0.1503909219122956,384.337912
1,AdultCensus,0.5,True,0.7610728178529994,0.0,422.1796109999996
1,AdultCensus,1.0,True,0.8039991810550741,0.0456692315881844,424.62835200000063
1,AdultCensus,2.0,True,0.8400327577970381,0.0421751756023018,421.4915839999994
1,AdultCensus,3.0,True,0.8273391114447554,0.0445860533531346,429.7363949999999
1,AdultCensus,4.0,True,0.7610728178529994,0.0,423.4874729999992
1,AdultCensus,5.0,True,0.7610728178529994,0.0,422.91278299999976
1,AdultCensus,10.0,True,0.8107554766941923,0.0479514372384693,420.9672800000008
2,AdultCensus,0.0,True,0.8432402920903569,0.1597573507826646,401.833722
2,AdultCensus,0.1,True,0.8510202688869174,0.1634781628339165,402.8258229999999
2,AdultCensus,0.25,True,0.8410564389544803,0.1305615951008543,383.9828809999999
2,AdultCensus,0.5,True,0.8086398689688118,0.0625746333350531,422.093312
2,AdultCensus,1.0,True,0.8293182283491435,0.0599127753169562,423.8806259999992
2,AdultCensus,2.0,True,0.7572510748652154,0.0,428.2824209999999
2,AdultCensus,3.0,True,0.8325940080529585,0.0194198901062634,429.9618679999985
2,AdultCensus,4.0,True,0.7572510748652154,0.0,421.3900080000003
2,AdultCensus,5.0,True,0.7572510748652154,0.0,425.0708560000021
2,AdultCensus,10.0,True,0.8274073568552515,0.0130191975351133,423.9941400000025
3,AdultCensus,0.0,True,0.8481539616460793,0.2026812877834524,401.692311
3,AdultCensus,0.1,True,0.7607315908005187,0.0,399.3811929999997
3,AdultCensus,0.25,True,0.8344366341363544,0.1284748403290642,383.88105
3,AdultCensus,0.5,True,0.8225619327100252,0.155742156273857,421.7530100000004
3,AdultCensus,1.0,True,0.8306831365590664,0.0785438704716312,423.9446850000004
3,AdultCensus,2.0,True,0.8345731249573466,0.0373522792551072,426.9323120000008
3,AdultCensus,3.0,True,0.8179894902067836,0.0143900990176381,429.6856260000004
3,AdultCensus,4.0,True,0.7953320139220638,0.0224191358336161,426.80467299999873
3,AdultCensus,5.0,True,0.8276803384972361,0.0131011064190995,424.49123600000166
3,AdultCensus,10.0,True,0.7607315908005187,0.0,422.9766039999995
4,AdultCensus,0.0,True,0.8509520234764212,0.1634618830688921,404.868177
4,AdultCensus,0.1,True,0.7616187811369686,0.0,396.53955499999984
4,AdultCensus,0.25,True,0.8486316795195523,0.1124178157625195,383.77044099999966
4,AdultCensus,0.5,True,0.8113696853886576,0.0350585363899971,423.8362109999998
4,AdultCensus,1.0,True,0.7863918651470688,0.0169038305497336,423.05924199999936
4,AdultCensus,2.0,True,0.8367569780932232,0.0479897155494765,425.8763920000001
4,AdultCensus,3.0,True,0.837098205145704,0.0249873520597391,431.0716140000004
4,AdultCensus,4.0,True,0.7861871289155804,0.021435695041641,423.765080000001
4,AdultCensus,5.0,True,0.8288405104756705,0.0195408939820651,425.83446600000025
4,AdultCensus,10.0,True,0.8282263017812053,0.0063607568642002,422.82553100000223
5,AdultCensus,0.0,True,0.7881662458199686,0.0287269910928903,397.630745
5,AdultCensus,0.1,True,0.8504743056029482,0.1308757278306213,397.54326100000026
5,AdultCensus,0.25,True,0.8486316795195523,0.1134207785823962,386.566898
5,AdultCensus,0.5,True,0.7858459018630997,0.0094939349559712,425.2172879999998
5,AdultCensus,1.0,True,0.7613457994949839,0.0,423.0556020000013
5,AdultCensus,2.0,True,0.8349825974203234,0.0200072973096238,423.2383840000002
5,AdultCensus,3.0,True,0.7613457994949839,0.0,430.13928099999976
5,AdultCensus,4.0,True,0.840919948133488,0.0411370627315249,425.2865350000011
5,AdultCensus,5.0,True,0.8358015423462772,0.0273339144153959,424.9130949999999
5,AdultCensus,10.0,True,0.7448304101549171,0.0119886604538183,420.12150199999815
6,AdultCensus,0.0,True,0.7797720603289429,0.0144197370055306,398.451766
6,AdultCensus,0.1,True,0.7724698014058554,0.0098206699356231,397.400915
6,AdultCensus,0.25,True,0.793557633249164,0.0241866403759135,383.3852920000004
6,AdultCensus,0.5,True,0.7592984371800996,0.0,428.9483490000002
6,AdultCensus,1.0,True,0.794990786869583,0.0292686147635307,423.2255879999993
6,AdultCensus,2.0,True,0.846584317204668,0.0768278427077281,426.1419869999991
6,AdultCensus,3.0,True,0.7592984371800996,0.0,429.2167710000013
6,AdultCensus,4.0,True,0.8358697877567733,0.02295387094581,420.63035899999886
6,AdultCensus,5.0,True,0.7592984371800996,0.0,425.7807659999999
6,AdultCensus,10.0,True,0.7592984371800996,0.0,422.2356619999992
7,AdultCensus,0.0,True,0.7573193202757115,0.0,403.33341
7,AdultCensus,0.1,True,0.7573193202757115,0.0,400.492272
7,AdultCensus,0.25,True,0.847539752951614,0.1381572217412081,384.85927399999946
7,AdultCensus,0.5,True,0.7841397666006961,0.1376581055703875,425.1636559999997
7,AdultCensus,1.0,True,0.8117791578516345,0.0579581834015983,421.9117019999994
7,AdultCensus,2.0,True,0.7573193202757115,0.0,423.803156
7,AdultCensus,3.0,True,0.816761072817853,0.0198198793487783,433.3514009999999
7,AdultCensus,4.0,True,0.8268613935712823,0.0028492978282181,426.476009
7,AdultCensus,5.0,True,0.8264519211083055,0.0254123893929043,419.7873880000007
7,AdultCensus,10.0,True,0.7885074728724494,0.0088805744272692,421.4407670000001
8,AdultCensus,0.0,True,0.7762232989831434,0.3899163237907446,400.535719
8,AdultCensus,0.1,True,0.8450829181737528,0.1076546292996156,399.2883780000004
8,AdultCensus,0.25,True,0.8287722650651743,0.1628776482702356,383.8172860000004
8,AdultCensus,0.5,True,0.8110967037466731,0.0723617179675478,418.125787
8,AdultCensus,1.0,True,0.8124616119565959,0.0566210488458602,423.1122429999986
8,AdultCensus,2.0,True,0.8074796969903774,0.0402838697038789,426.1209319999998
8,AdultCensus,3.0,True,0.84283081962738,0.0497366006969527,426.8567129999992
8,AdultCensus,4.0,True,0.7534293318774312,0.0,426.5834369999993
8,AdultCensus,5.0,True,0.8325257626424623,0.0268568192880252,427.7119070000008
8,AdultCensus,10.0,True,0.7534293318774312,0.0,424.2131089999966
9,AdultCensus,0.0,True,0.7830478400327578,0.3135346303496704,401.561478
9,AdultCensus,0.1,True,0.7625059714734184,0.0,398.69018000000005
9,AdultCensus,0.25,True,0.835187333651812,0.083215468293287,389.5408029999999
9,AdultCensus,0.5,True,0.836142769398758,0.0598042765457732,422.9320009999992
9,AdultCensus,1.0,True,0.7625059714734184,0.0,425.879938
9,AdultCensus,2.0,True,0.8385996041766192,0.0148323271765704,423.3361329999989
9,AdultCensus,3.0,True,0.8250870128983826,0.0260066148658199,429.4499300000007
9,AdultCensus,4.0,True,0.784549239063673,0.0144154675524651,423.226939000002
9,AdultCensus,5.0,True,0.824336313382925,0.0035613538149253,424.6003180000007
9,AdultCensus,10.0,True,0.8094588138947656,0.0178495767928794,425.20856099999946
10,AdultCensus,0.0,True,0.7743806728997475,0.3046989194692112,397.896763
10,AdultCensus,0.1,True,0.8485634341090562,0.1567804268800817,397.47280799999953
10,AdultCensus,0.25,True,0.8127345935985805,0.1670141864862473,404.56250700000055
10,AdultCensus,0.5,True,0.7582747560226575,0.0,420.5640910000002
10,AdultCensus,1.0,True,0.7969699037739713,0.0307551146804881,425.306720999999
10,AdultCensus,2.0,True,0.8389408312290998,0.0499347613741201,421.8355559999982
10,AdultCensus,3.0,True,0.7582747560226575,0.0,429.0721450000019
10,AdultCensus,4.0,True,0.8293864737596397,0.0164425203467147,428.48212899999817
10,AdultCensus,5.0,True,0.8401010032075343,0.0383258511727588,426.0041560000027
10,AdultCensus,10.0,True,0.8269296389817785,0.0039666170512444,421.650198000003
11,AdultCensus,0.0,True,0.8001091926567938,0.0292105914960079,402.295538
11,AdultCensus,0.1,True,0.8406469664915035,0.1830221539570435,399.2086879999997
11,AdultCensus,0.25,True,0.8460383539206988,0.1204601800236785,401.9200449999999
11,AdultCensus,0.5,True,0.8463113355626835,0.0935371511216596,420.7840399999996
11,AdultCensus,1.0,True,0.8349825974203234,0.0197066141129398,422.7899120000002
11,AdultCensus,2.0,True,0.7925339520917218,0.0173694048832043,421.9297319999987
11,AdultCensus,3.0,True,0.8323210264109738,0.0019426513446266,431.6704269999991
11,AdultCensus,4.0,True,0.7659182419982257,0.0,425.25218600000153
11,AdultCensus,5.0,True,0.8315703268955162,0.0032175195849018,424.3261970000021
11,AdultCensus,10.0,True,0.8315703268955162,0.0025529843913001,421.2216680000056
12,AdultCensus,0.0,True,0.843786255374326,0.2674388581376149,398.92992300000014
12,AdultCensus,0.1,True,0.8506790418344367,0.1417121269825036,398.2421340000001
12,AdultCensus,0.25,True,0.820105097932164,0.0539722513295093,399.0788129999992
12,AdultCensus,0.5,True,0.8467208080256603,0.1014325215174187,427.7710790000001
12,AdultCensus,1.0,True,0.7612775540844878,0.0,422.6501189999999
12,AdultCensus,2.0,True,0.8426943288063877,0.0589083254829092,427.7921239999996
12,AdultCensus,3.0,True,0.7612775540844878,0.0,429.9914570000001
12,AdultCensus,4.0,True,0.8369617143247117,0.0213838676621211,424.5351720000017
12,AdultCensus,5.0,True,0.7732887463318092,0.0353084295898907,425.8936429999994
12,AdultCensus,10.0,True,0.7612775540844878,0.0,423.5158550000015
13,AdultCensus,0.0,True,0.8454241452262335,0.1945305499041425,402.58502
13,AdultCensus,0.1,True,0.7992902477308401,0.245832337874303,398.70666500000016
13,AdultCensus,0.25,True,0.8447416911212721,0.121745079498406,403.2342470000003
13,AdultCensus,0.5,True,0.8136217839350304,0.0487367520120846,420.4143100000001
13,AdultCensus,1.0,True,0.7621647444209377,0.0,421.1807740000004
13,AdultCensus,2.0,True,0.8334811983894083,0.0683144552387131,424.5154950000015
13,AdultCensus,3.0,True,0.789804135671876,0.0180728835283595,426.4434020000008
13,AdultCensus,4.0,True,0.7621647444209377,0.0,421.644014999998
13,AdultCensus,5.0,True,0.8302736640960895,0.0211243112471362,424.4478219999983
13,AdultCensus,10.0,True,0.7621647444209377,0.0,422.0962700000018
14,AdultCensus,0.0,True,0.7599808912850611,0.0,396.1373689999999
14,AdultCensus,0.1,True,0.8499283423189791,0.1638293278688558,397.66955400000006
14,AdultCensus,0.25,True,0.7951955231010714,0.1202790958374793,405.8906859999997
14,AdultCensus,0.5,True,0.8016788370982052,0.0351069478195087,423.6904020000002
14,AdultCensus,1.0,True,0.7328874633180918,0.0544004841227402,426.2132810000003
14,AdultCensus,2.0,True,0.8373711867876885,0.0379343998594752,429.6595500000003
14,AdultCensus,3.0,True,0.7915102709342797,0.0287585592946598,427.9473479999997
14,AdultCensus,4.0,True,0.7803862690234081,0.0052128507170135,425.3864040000008
14,AdultCensus,5.0,True,0.7599808912850611,0.0,425.5624439999992
14,AdultCensus,10.0,True,0.8340954070838736,0.0279982501486681,424.3604739999973
15,AdultCensus,0.0,True,0.7619600081894493,0.0,401.572312
15,AdultCensus,0.1,True,0.7693305125230329,0.0522928537075473,397.26821400000017
15,AdultCensus,0.25,True,0.8510202688869174,0.1149130684727113,404.3831769999997
15,AdultCensus,0.5,True,0.7619600081894493,0.0,423.4634560000004
15,AdultCensus,1.0,True,0.8332764621579198,0.0271264628132287,424.6217579999993
15,AdultCensus,2.0,True,0.8405104756705112,0.0519009278564697,423.7780590000002
15,AdultCensus,3.0,True,0.8345731249573466,0.030823398839665,431.490393
15,AdultCensus,4.0,True,0.8459018630997065,0.0748129177478899,423.1925399999982
15,AdultCensus,5.0,True,0.8433767829113492,0.0473673788518471,422.3264489999965
15,AdultCensus,10.0,True,0.8332764621579198,0.0183421424779578,424.0956530000003
