seed,dataset,level,acc,disparity,time
0,Lawschool,0,0.7943815571507454,0.0742065376697388,132.42566799999997
0,Lawschool,1,0.7938293760353395,0.0469462445094238,131.56428400000004
0,Lawschool,2,0.7937948647156268,0.0525338586985957,133.44125199999985
0,Lawschool,4,0.792932081722805,0.0351230192532664,134.191376
0,Lawschool,6,0.7914826062948647,0.0102542137332962,132.44190100000014
0,Lawschool,10,0.7921728326891221,0.0125390396846805,134.53017899999986
0,Lawschool,15,0.7911029817780232,0.0056313032990568,133.77357400000005
0,Lawschool,25,0.7917586968525676,0.0070460229640567,131.44084399999997
0,Lawschool,35,0.7927940364439536,0.0127816739357712,133.4274720000003
0,Lawschool,50,0.7908614025400331,0.0050157147016518,132.12251100000003
1,Lawschool,0,0.7891703478741027,0.072224797250412,132.7809000000001
1,Lawschool,1,0.7884110988404197,0.047234535890859,133.80400199999983
1,Lawschool,2,0.7877208724461623,0.030760067004944,132.2826500000001
1,Lawschool,4,0.7868926007730536,0.0255616078398572,132.82926199999997
1,Lawschool,6,0.7867200441744893,0.0154992495632132,132.53320099999996
1,Lawschool,10,0.7864439536167863,0.0167580124035042,134.19698100000005
1,Lawschool,15,0.786271397018222,0.0083617748101061,132.88235299999997
1,Lawschool,25,0.7868580894533407,0.0124664278279617,133.158772
1,Lawschool,35,0.7866510215350635,0.0227490187787318,130.25018799999998
1,Lawschool,50,0.7853395913859746,0.0011758972714768,131.72930199999996
2,Lawschool,0,0.7881004969630039,0.0753722288918631,130.81612400000006
2,Lawschool,1,0.7882040309221424,0.0429912598439382,134.34588799999997
2,Lawschool,2,0.7881695196024296,0.0354164748907991,132.56974200000002
2,Lawschool,4,0.7871686913307565,0.0100756887071718,133.97753899999998
2,Lawschool,6,0.7876863611264495,0.0172632487565879,133.35495200000014
2,Lawschool,10,0.7876173384870238,0.0102948971966115,132.1351569999997
2,Lawschool,15,0.787030646051905,0.0002244985795926,133.1395690000004
2,Lawschool,25,0.786029817780232,4.782895942356813e-05,134.12334899999996
2,Lawschool,35,0.7857882385422419,0.0084116432811858,134.11756100000002
2,Lawschool,50,0.7859262838210933,0.0093613992835036,130.25802599999997
3,Lawschool,0,0.789101325234677,0.0858702571969568,132.13375499999995
3,Lawschool,1,0.7890323025952513,0.058757875202471,133.23380100000008
3,Lawschool,2,0.7882730535615682,0.0457234041090501,131.37356999999997
3,Lawschool,4,0.7894464384318056,0.0479535338185245,134.08130699999992
3,Lawschool,6,0.7874792932081722,0.018852521319474,131.84463600000004
3,Lawschool,10,0.787272225289895,0.0199840440237637,130.73729000000003
3,Lawschool,15,0.7870996686913307,0.0167126972272859,130.82228299999997
3,Lawschool,25,0.7877553837658752,0.0243196367506039,132.68984
3,Lawschool,35,0.7871341800110436,0.0041903628323018,134.41103799999996
3,Lawschool,50,0.787548315847598,0.0209703732715583,132.75522300000011
4,Lawschool,0,0.7899641082274986,0.0708515410126898,133.186515
4,Lawschool,1,0.7891358365543898,0.0442386853269073,131.51614900000004
4,Lawschool,2,0.7888942573163997,0.0315793878694573,131.92548399999998
4,Lawschool,4,0.7887562120375483,0.0152610170411082,133.968298
4,Lawschool,6,0.7889287686361126,0.0214613499301968,131.083801
4,Lawschool,10,0.7889287686361126,0.0244731589253816,130.80793299999982
4,Lawschool,15,0.7883765875207068,0.0082842592435763,133.2392890000001
4,Lawschool,25,0.7882385422418553,0.0100608849973485,131.01606300000003
4,Lawschool,35,0.7891703478741027,0.0120255782802449,132.88406699999996
4,Lawschool,50,0.788065985643291,0.0122961777270856,133.29452900000024
5,Lawschool,0,0.7879279403644396,0.0874645658909618,132.23095
