Unnamed: 0,seed,dataset,alpha,acc,disparity,time
0,0,ACSIncome,0.2,0.8035225793531591,0.1452429145191326,1367.756173
0,0,ACSIncome,0.45,0.8031320716932011,0.1200675923007351,1429.741239
0,0,ACSIncome,0.7,0.801207569840793,0.0835738043635808,1339.641486999999
0,0,ACSIncome,0.95,0.8008591168519075,0.0836873961926736,1338.7884620000004
0,0,ACSIncome,1.2,0.7979072794633023,0.0589754501841853,1407.911986999996
0,0,ACSIncome,1.45,0.7979092820666867,0.0524339225837388,1395.420068000003
0,0,ACSIncome,1.7,0.798742365074597,0.0665931340767041,1431.411526
0,0,ACSIncome,1.95,0.7960328426955041,0.0314023905660884,1400.5161649999973
0,0,ACSIncome,2.2,0.79696405326925,0.0419394853043205,1426.2762090000033
0,0,ACSIncome,2.45,0.7966476419345149,0.0379545854639779,1381.6855579999974
0,1,ACSIncome,0.2,0.8047241413837989,0.1533906708139901,1383.288532
0,1,ACSIncome,0.45,0.8039511364774207,0.1065290898151112,1400.1629820000007
0,1,ACSIncome,0.7,0.8022429157905276,0.087375634907128,1334.9152090000007
0,1,ACSIncome,0.95,0.8014098327826173,0.0755669122213625,1328.1379660000002
0,1,ACSIncome,1.2,0.8013397416641634,0.0722688771517502,1418.866481000001
0,1,ACSIncome,1.45,0.7983658756383298,0.0438446826810431,1404.5001260000026
0,1,ACSIncome,1.7,0.7991168519074797,0.053640532119669,1434.7740570000024
0,1,ACSIncome,1.95,0.7974727145288876,0.0357542688354081,1395.193889000002
0,1,ACSIncome,2.2,0.800230299389206,0.0597831322404262,1391.378058000002
0,1,ACSIncome,2.45,0.7951176529488335,0.0194950113462908,1359.9717789999922
0,2,ACSIncome,0.2,0.8046360268348853,0.1451168417219264,1373.024212
0,2,ACSIncome,0.45,0.8034484830279364,0.1088728534228573,1345.9982740000005
0,2,ACSIncome,0.7,0.8022569340142185,0.0925062157015184,1351.826013
0,2,ACSIncome,0.95,0.8010273355361971,0.0665029254090636,1342.073655999999
0,2,ACSIncome,1.2,0.8004165415039551,0.0631710572573836,1410.0298760000005
0,2,ACSIncome,1.45,0.7996915990788025,0.0578819471863868,1438.9803640000027
0,2,ACSIncome,1.7,0.7999319114849304,0.060343098270775,1457.8613460000015
0,2,ACSIncome,1.95,0.7979393211174527,0.0399021648079929,1407.7809669999988
0,2,ACSIncome,2.2,0.7964093321317713,0.0352387799635656,1421.7859330000065
0,2,ACSIncome,2.45,0.7958806448382898,0.0174169365394489,1411.9520300000004
0,3,ACSIncome,0.2,0.8032882747571843,0.1405709052342573,1374.8755990000002
0,3,ACSIncome,0.45,0.8031861419845799,0.1070577159987152,1344.5647520000002
0,3,ACSIncome,0.7,0.8016942024632021,0.1011733080162303,1344.2528090000014
0,3,ACSIncome,0.95,0.7990247321517974,0.0670352753841563,1355.0695250000008
0,3,ACSIncome,1.2,0.7990828076499449,0.0591791943716052,1426.2704090000009
0,3,ACSIncome,1.45,0.7998177630920196,0.0637586714278642,1438.100204000002
0,3,ACSIncome,1.7,0.7983158105537198,0.0543204399210842,1393.1346510000003
0,3,ACSIncome,1.95,0.7976769800740964,0.0434358712070103,1427.783374999999
0,3,ACSIncome,2.2,0.7977510763993191,0.0508792936214995,1430.4207559999995
0,3,ACSIncome,2.45,0.7985401021327726,0.0540972988726923,1371.0515240000022
0,4,ACSIncome,0.2,0.8054290577751076,0.1495283796183748,1380.8347160000003
0,4,ACSIncome,0.45,0.8025893661760288,0.0972486003933054,1331.8100239999994
0,4,ACSIncome,0.7,0.8030139180935216,0.1044633040428555,1340.083205999999
0,4,ACSIncome,0.95,0.800260338439972,0.0762935267839186,1368.2778099999996
0,4,ACSIncome,1.2,0.7994292580354461,0.0610452837345493,1394.1431510000002
0,4,ACSIncome,1.45,0.7982857715029539,0.045795204157815,1418.536634
0,4,ACSIncome,1.7,0.7984459797737058,0.0483628742727193,1394.8491439999998
0,4,ACSIncome,1.95,0.7983278261740262,0.0416040537528472,1409.7464439999967
0,4,ACSIncome,2.2,0.798181636126965,0.0474170872062103,1378.4696489999917
0,4,ACSIncome,2.45,0.798592169820767,0.0506368501574633,1380.7492760000025
0,5,ACSIncome,0.2,0.8054130369480325,0.1517788217171972,1370.862379
0,5,ACSIncome,0.45,0.8026073896064885,0.0979403993566229,1337.545107
0,5,ACSIncome,0.7,0.8037588865525183,0.0993773311114156,1350.195486999999
0,5,ACSIncome,0.95,0.802565334935416,0.0884736981144397,1378.2344090000024
0,5,ACSIncome,1.2,0.8005567237408632,0.0643562944279059,1394.781684000005
0,5,ACSIncome,1.45,0.7991208571142485,0.0564140621788916,1435.8773479999982
0,5,ACSIncome,1.7,0.7988785421047362,0.0479126474493751,1421.2501819999998
0,5,ACSIncome,1.95,0.8005647341544008,0.0596061797804547,1391.733491999992
0,5,ACSIncome,2.2,0.7993131070391509,0.0507263302596384,1404.9176200000002
0,5,ACSIncome,2.45,0.7992249924902373,0.0500423321233484,1397.3195389999964
0,6,ACSIncome,0.2,0.8043796936016822,0.1498623622327817,1421.216961
0,6,ACSIncome,0.45,0.8034584960448583,0.1139957052859639,1353.50025
0,6,ACSIncome,0.7,0.8006348252728547,0.082752866979141,1318.1439859999991
0,6,ACSIncome,0.95,0.8004926404325623,0.0668625259249157,1416.5792949999995
0,6,ACSIncome,1.2,0.8,0.0757613258420566,1416.5219550000002
0,6,ACSIncome,1.45,0.7969099829778712,0.0387484023906381,1444.928562000001
0,6,ACSIncome,1.7,0.7977530790027035,0.0578203414493086,1389.962549
