Unnamed: 0,seed,dataset,lambda,acc,disparity,time
0,0,ACSIncome,0.05,0.8042675478121558,0.1678171327380507,1577.637194
0,0,ACSIncome,0.15,0.8045198758385902,0.1582573036027623,1564.532889
0,0,ACSIncome,0.25,0.802675478121558,0.1217863743208265,1737.0910170000006
0,0,ACSIncome,0.35,0.8024672073695804,0.1209027127624702,1525.3686609999986
0,0,ACSIncome,0.45,0.8014639030739962,0.0969491580736543,1541.845323999998
0,0,ACSIncome,0.55,0.7995013517572844,0.0727177497022281,1527.1568200000002
0,0,ACSIncome,0.65,0.7987203364373686,0.0571303394073361,1437.3143850000051
0,0,ACSIncome,0.75,0.7950335436066887,0.0283210582732985,1473.2359129999968
0,0,ACSIncome,0.8500000000000001,0.7900170221287673,0.0049691635220897,1493.893981999994
0,0,ACSIncome,0.95,0.7848042455191749,0.0236479237049869,1464.9277750000035
0,1,ACSIncome,0.05,0.8053489536397317,0.1656417709421996,1576.4221329999998
0,1,ACSIncome,0.15,0.8052368078502052,0.1596315546309,1516.2807369999991
0,1,ACSIncome,0.25,0.8040212275958747,0.123397662441883,1642.2534479999997
0,1,ACSIncome,0.35,0.8026935015520176,0.0969533737445634,1536.3220770000007
0,1,ACSIncome,0.45,0.8018343847001101,0.0923056561980533,1511.705629
0,1,ACSIncome,0.55,0.799779713627716,0.0647625014176028,1479.0837460000002
0,1,ACSIncome,0.65,0.7993831981576048,0.0600005217321063,1471.5409819999986
0,1,ACSIncome,0.75,0.7935796535496145,0.0058159889939902,1463.4970629999953
0,1,ACSIncome,0.8500000000000001,0.7919435265845599,0.0006858367324591,1466.5747130000018
0,1,ACSIncome,0.95,0.7757444678081507,0.023705456707734,1446.2290429999994
0,2,ACSIncome,0.05,0.8048342845699409,0.1774586265986198,1528.745683
0,2,ACSIncome,0.15,0.8035666366276158,0.14644412369805,1551.7667950000005
0,2,ACSIncome,0.25,0.8046160008010413,0.1345575535227243,1639.377865999999
0,2,ACSIncome,0.35,0.8041453890057074,0.1404493896808506,1552.2671879999998
0,2,ACSIncome,0.45,0.8022769600480625,0.0977159282468062,1500.6521920000014
0,2,ACSIncome,0.55,0.7996635626314208,0.0557570768635791,1510.120558999999
0,2,ACSIncome,0.65,0.7983879042755583,0.0446833647924401,1461.8401040000026
0,2,ACSIncome,0.75,0.7916110944227496,0.0025698223239853,1434.8381930000032
0,2,ACSIncome,0.8500000000000001,0.793171122459197,0.0060881440327847,1534.8991419999948
0,2,ACSIncome,0.95,0.7829978972664464,0.0476059297368357,1482.959192000002
0,3,ACSIncome,0.05,0.8041854410733954,0.1894817625876249,1532.495799
0,3,ACSIncome,0.15,0.8046560528687293,0.1728092710942772,1537.2202930000003
0,3,ACSIncome,0.25,0.8045318914588966,0.1437843950245753,1615.795984999997
0,3,ACSIncome,0.35,0.8023530589766696,0.1201392410820234,1526.1618240000023
0,3,ACSIncome,0.45,0.8002743566636628,0.0902926561030886,1550.383175000003
0,3,ACSIncome,0.55,0.7979553419445279,0.0545656049959084,1503.925103000005
0,3,ACSIncome,0.65,0.7968659257034144,0.0543997298295326,1427.5599560000046
0,3,ACSIncome,0.75,0.7935275858616201,0.0138445272962782,1512.665025000002
0,3,ACSIncome,0.8500000000000001,0.790605787523781,0.0031751258652008,1502.3736960000024
0,3,ACSIncome,0.95,0.7845419044758186,0.0313043740705947,1461.6645429999917
0,4,ACSIncome,0.05,0.8057134274556924,0.1702135254611689,1577.3617370000002
0,4,ACSIncome,0.15,0.8056072894763192,0.1723507605638071,1549.2813119999992
0,4,ACSIncome,0.25,0.8030840092119755,0.1173286380977673,1552.7905279999995
0,4,ACSIncome,0.35,0.8035766496445379,0.1217665702320408,1560.053093999999
0,4,ACSIncome,0.45,0.8019685591268649,0.0816104805822069,1534.6529450000016
0,4,ACSIncome,0.55,0.7999058776409332,0.0643259142937675,1479.976504000002
0,4,ACSIncome,0.65,0.798962651446881,0.0472215623118018,1488.9858830000012
0,4,ACSIncome,0.75,0.7947411635125663,0.0170775203856315,1525.5810009999989
0,4,ACSIncome,0.8500000000000001,0.7907399619505356,0.007850993536463,1491.6197089999987
0,4,ACSIncome,0.95,0.7855472113747872,0.0368124424116492,1479.523408999994
0,5,ACSIncome,0.05,0.8055051567037148,0.1790319023372663,1548.501971
0,5,ACSIncome,0.15,0.8047902272954841,0.1465109826814611,1511.1133010000003
0,5,ACSIncome,0.25,0.8040012015620306,0.1261144312287122,1576.533929000001
0,5,ACSIncome,0.35,0.8036968058476018,0.1069651801242081,1535.342731999997
0,5,ACSIncome,0.45,0.8019184940422549,0.0954975857312464,1490.5063819999996
0,5,ACSIncome,0.55,0.7990227295484129,0.0504592027369535,1517.037006999999
0,5,ACSIncome,0.65,0.7991569039751677,0.0421734796177746,1460.0843220000024
0,5,ACSIncome,0.75,0.7964513868028437,0.0233557179367904,1452.7209300000031
0,5,ACSIncome,0.8500000000000001,0.7949994993491539,0.0125224485844551,1535.0865699999997
0,5,ACSIncome,0.95,0.780190247321518,0.0222188911945827,1483.9037769999995
0,6,ACSIncome,0.05,0.8048362871733253,0.1797957952472316,1554.5060359999998
0,6,ACSIncome,0.15,0.8046520476619605,0.1623803278529744,1567.101404
