Unnamed: 0,seed,dataset,level,acc,disparity,time
0,0,ACSIncome,0.0,0.7916952037648943,0.0013592852096616,0.2994539999999688
0,0,ACSIncome,0.025,0.7945749474316611,0.0264243454233185,0.295011000000045
0,0,ACSIncome,0.05,0.7970121157504756,0.0508812478736032,0.2941539999999349
0,0,ACSIncome,0.075,0.7990607790127165,0.0759033935115616,0.295898999999963
0,0,ACSIncome,0.1,0.8010433563632723,0.1012903099093445,0.2975290000000541
0,0,ACSIncome,0.125,0.8025112646440372,0.126589444674389,0.2946070000000418
0,0,ACSIncome,0.15,0.8037248422949835,0.1515022466969784,0.2974830000000565
0,0,ACSIncome,0.175,0.8045479122859718,0.1763301787748482,0.2952859999999191
0,0,ACSIncome,0.2,0.8046860919194954,0.1888610534506856,0.0455449999999473
0,0,ACSIncome,0.225,0.8046860919194954,0.1888610534506856,0.0461109999999962
0,1,ACSIncome,0.0,0.7933273255231801,0.0002129309817548,0.2950040000000626
0,1,ACSIncome,0.025,0.7965435065585261,0.0254534081005654,0.2941979999999375
0,1,ACSIncome,0.05,0.7990788024431761,0.0497390172612237,0.2936399999999821
0,1,ACSIncome,0.075,0.8012416140983278,0.0746047204359976,0.2932950000000573
0,1,ACSIncome,0.1,0.8031180534695104,0.1003515288578989,0.2944430000000011
0,1,ACSIncome,0.125,0.8043616701712226,0.1252359693271504,0.2962150000000747
0,1,ACSIncome,0.15,0.8050265344948433,0.1501263804366089,0.2959940000000642
0,1,ACSIncome,0.175,0.8055351957544808,0.1751320036973044,0.3189060000000836
0,1,ACSIncome,0.2,0.8055472113747872,0.1896446726373803,0.0466800000000375
0,1,ACSIncome,0.225,0.8055472113747872,0.1896446726373803,0.0469209999999975
0,2,ACSIncome,0.0,0.7930469610493641,0.0004468511126531,0.2991619999999102
0,2,ACSIncome,0.025,0.7962311004305598,0.0253501443086981,0.3010299999998551
0,2,ACSIncome,0.05,0.798862521277661,0.049775327878266,0.302714999999921
0,2,ACSIncome,0.075,0.8010153199158907,0.0745639647239829,0.3023540000000366
0,2,ACSIncome,0.1,0.8026794833283268,0.099447685226188,0.3058400000001029
0,2,ACSIncome,0.125,0.8039311104435767,0.1246913572360214,0.30466100000001
0,2,ACSIncome,0.15,0.8051526985080605,0.1500461128438046,0.2998280000000477
0,2,ACSIncome,0.175,0.8053589666566536,0.1745943473400749,0.3010339999999587
0,2,ACSIncome,0.2,0.8052788625212777,0.1966881465126943,0.0509969999999384
0,2,ACSIncome,0.225,0.8052788625212777,0.1966881465126943,0.0538890000000265
0,3,ACSIncome,0.0,0.7919235005507159,0.0005046955295431,0.319238999999925
0,3,ACSIncome,0.025,0.7948853509562431,0.0245473886162507,0.3155179999998836
0,3,ACSIncome,0.05,0.7974346650645839,0.0493946545036569,0.3143529999999828
0,3,ACSIncome,0.075,0.7997356563532593,0.074585781065016,0.3142520000001241
0,3,ACSIncome,0.1,0.8015660358466006,0.0989750558655246,0.3162180000001626
0,3,ACSIncome,0.125,0.8028977670972264,0.1233823832049367,0.3149629999998069
0,3,ACSIncome,0.15,0.8038610193251227,0.1486908849119511,0.3146990000000187
0,3,ACSIncome,0.175,0.804173425453089,0.17361094920148,0.3152650000001813
0,3,ACSIncome,0.2,0.8042695504155402,0.1805142812755008,0.0522350000001097
0,3,ACSIncome,0.225,0.8042695504155402,0.1805142812755008,0.0521260000000438
0,4,ACSIncome,0.0,0.7937638930609793,0.0008802735743777,0.3161709999999402
0,4,ACSIncome,0.025,0.7966957044157404,0.02374189747049,0.3107639999998355
0,4,ACSIncome,0.05,0.7991008310804045,0.0483647062676712,0.3111329999996997
0,4,ACSIncome,0.075,0.8010633823971163,0.0733853157062068,0.3152439999998933
0,4,ACSIncome,0.1,0.802665465104636,0.0986933637126064,0.3139799999999013
0,4,ACSIncome,0.125,0.8041794332632423,0.1231467387247027,0.306695000000218
0,4,ACSIncome,0.15,0.8052187844197457,0.1481517216243214,0.3078449999998156
0,4,ACSIncome,0.175,0.80552117753079,0.1717268783988806,0.049011000000064
0,4,ACSIncome,0.2,0.80552117753079,0.1717268783988806,0.0495689999997921
0,4,ACSIncome,0.225,0.80552117753079,0.1717268783988806,0.0494850000000042
0,5,ACSIncome,0.0,0.7934514869330129,0.0002429169007693,0.3081590000001597
0,5,ACSIncome,0.025,0.7963232201862421,0.0247692972238456,0.3060019999998076
0,5,ACSIncome,0.05,0.7992890757985381,0.0504726219644161,0.3055919999997059
0,5,ACSIncome,0.075,0.8012716531490939,0.0751084958759621,0.3067689999998038
0,5,ACSIncome,0.1,0.8031941523981175,0.0995341670276526,0.3066119999998591
0,5,ACSIncome,0.125,0.8044237508761389,0.1247649506542116,0.3155600000000049
0,5,ACSIncome,0.15,0.8054671072394113,0.1495277169774768,0.3086769999999887
0,5,ACSIncome,0.175,0.8057474717132272,0.1746026729896292,0.3078480000003765
0,5,ACSIncome,0.2,0.8057134274556924,0.1773198412168324,0.0486869999999726
0,5,ACSIncome,0.225,0.8057134274556924,0.1773198412168324,0.0483389999999417
0,6,ACSIncome,0.0,0.7922158806448383,0.0004658955483328,0.3006780000000617
0,6,ACSIncome,0.025,0.7953719835786522,0.0252828357399186,0.3072299999998904
0,6,ACSIncome,0.05,0.7982156803844999,0.0500814241919247,0.3014750000002095
0,6,ACSIncome,0.075,0.8002863722839691,0.0747858064753043,0.3017350000004626
0,6,ACSIncome,0.1,0.8022789626514469,0.0995671189923284,0.3062680000002729
0,6,ACSIncome,0.125,0.8036066886953039,0.1255897456764156,0.2990029999996295
0,6,ACSIncome,0.15,0.8043396415339942,0.1502007859446874,0.3067689999998038
0,6,ACSIncome,0.175,0.8047181335736457,0.1755133348926957,0.3067770000002383
0,6,ACSIncome,0.2,0.804654050265345,0.1891835415240852,0.0541749999997591
0,6,ACSIncome,0.225,0.804654050265345,0.1891835415240852,0.0536799999999857
0,7,ACSIncome,0.0,0.7927485731450886,0.0013177349089742,0.3222420000001875
0,7,ACSIncome,0.025,0.7957644938419945,0.026185485222872,0.3193309999996927
0,7,ACSIncome,0.05,0.7984700110143186,0.0514891338275586,0.3223280000001978
0,7,ACSIncome,0.075,0.8006348252728547,0.0766732103926001,0.3219989999997779
0,7,ACSIncome,0.1,0.8026194052267949,0.101899187453565,0.3266109999999571
0,7,ACSIncome,0.125,0.8040492640432563,0.1266667124421719,0.3247679999999491
0,7,ACSIncome,0.15,0.8048382897767097,0.152056040071738,0.3243840000004638
0,7,ACSIncome,0.175,0.8053970161209573,0.1772411858412843,0.3221889999999803
0,7,ACSIncome,0.2,0.8054350655852608,0.1875958515079817,0.0549359999999978
0,7,ACSIncome,0.225,0.8054350655852608,0.1875958515079817,0.0544390000000021
0,8,ACSIncome,0.0,0.792830679883849,0.0016244726694615,0.2987229999998817
0,8,ACSIncome,0.025,0.7958325823570642,0.0264399201915229,0.3002889999997933
0,8,ACSIncome,0.05,0.7985941724241514,0.0516067091247605,0.2978380000004108
0,8,ACSIncome,0.075,0.8012135776509463,0.076683863515085,0.2988350000000537
0,8,ACSIncome,0.1,0.8028577150295384,0.1017190967571525,0.297559000000092
0,8,ACSIncome,0.125,0.8040873135075598,0.126192503153053,0.2988419999996949
0,8,ACSIncome,0.15,0.8049123861019325,0.1508524533130967,0.2972100000001774
0,8,ACSIncome,0.175,0.8051987583859017,0.1731100922061119,0.0461320000003979
0,8,ACSIncome,0.2,0.8051987583859017,0.1731100922061119,0.0467739999999139
0,8,ACSIncome,0.225,0.8051987583859017,0.1731100922061119,0.0463979999999537
0,9,ACSIncome,0.0,0.7915410033042956,0.0006808212561622,0.2849980000000869
0,9,ACSIncome,0.025,0.7947471713227195,0.0258623338861864,0.2870020000000295
0,9,ACSIncome,0.05,0.7973966156002804,0.0511801639426584,0.2860030000001643
0,9,ACSIncome,0.075,0.7997156303194153,0.0763101180265963,0.2859990000001744
0,9,ACSIncome,0.1,0.8017062180835086,0.1016628258899904,0.2820190000002185
0,9,ACSIncome,0.125,0.8030219285070592,0.1268761071946054,0.2820400000000518
0,9,ACSIncome,0.15,0.8039791729248023,0.1517774704855106,0.2790730000001531
0,9,ACSIncome,0.175,0.8045078602182838,0.1768627280609295,0.2830269999994925
0,9,ACSIncome,0.2,0.8043015920696907,0.201558204518879,0.2810500000000502
0,9,ACSIncome,0.225,0.804223490537699,0.2034760862609807,0.0446759999999812
