seed,dataset,level,acc,disparity,time
0,AdultCensus,0.0,0.847539752951614,0.209695845015542,373.242914
1,AdultCensus,0.0,0.850815532655429,0.2017618608217096,370.045466
2,AdultCensus,0.0,0.8434450283218453,0.1988679544747801,371.21669
3,AdultCensus,0.0,0.8482904524670716,0.158886650367422,375.091937
4,AdultCensus,0.0,0.8591414727359585,0.1546890998781089,370.09672
5,AdultCensus,0.0,0.8517027229918788,0.1797712284986967,373.655387
6,AdultCensus,0.0,0.8558656930321435,0.1665534572386783,370.864924
7,AdultCensus,0.0,0.8474032621306217,0.1657744357089814,374.563635
8,AdultCensus,0.0,0.8439909916058145,0.1731780703997782,372.713644
9,AdultCensus,0.0,0.8423531017539071,0.220963865655658,374.690393
10,AdultCensus,0.0,0.8504743056029482,0.1468275482020379,372.409073
11,AdultCensus,0.0,0.8474715075411179,0.1452582949531516,372.795198
12,AdultCensus,0.0,0.8512932505289019,0.1734603053740103,378.949842
13,AdultCensus,0.0,0.8478809800040947,0.163203265608588,370.644731
14,AdultCensus,0.0,0.8459701085102027,0.1746793703469791,371.501188
15,AdultCensus,0.0,0.8538183307172592,0.1961465255045015,372.313336
16,AdultCensus,0.0,0.8495188698560022,0.1552964065898243,374.788871
17,AdultCensus,0.0,0.8580495461680202,0.155404703179372,371.320723
18,AdultCensus,0.0,0.8481539616460793,0.1743895203401037,372.016226
19,AdultCensus,0.0,0.8489729065720331,0.1665725584472648,372.355551
20,AdultCensus,0.0,0.8482222070565755,0.1975520623841572,367.792173
21,AdultCensus,0.0,0.8501330785504675,0.18113160929354,370.476442
22,AdultCensus,0.0,0.8482904524670716,0.1666040439991226,370.126929
23,AdultCensus,0.0,0.8479492254145908,0.133269024802901,367.447691
24,AdultCensus,0.0,0.8504743056029482,0.1653293942018247,370.901529
25,AdultCensus,0.0,0.8510885142974135,0.168258434505838,385.6701559999999
26,AdultCensus,0.0,0.8405787210810073,0.2033408363542226,383.881517
27,AdultCensus,0.0,0.8529311403808094,0.171861052280603,383.999119
28,AdultCensus,0.0,0.8523169316863441,0.1582771433573098,387.521664
29,AdultCensus,0.0,0.8511567597079096,0.1697537173198889,392.16035299999993
30,AdultCensus,0.0,0.8538865761277554,0.1628572000211745,390.1201040000001
31,AdultCensus,0.0,0.8499965877294752,0.183717020553554,386.110603
32,AdultCensus,0.0,0.851770968402375,0.1643074368414581,386.007593
33,AdultCensus,0.0,0.8538183307172592,0.1515880164827331,384.925559
34,AdultCensus,0.0,0.8467208080256603,0.1817402726615348,386.89641499999993
35,AdultCensus,0.0,0.8462430901521872,0.189260319715226,390.601496
36,AdultCensus,0.0,0.8489729065720331,0.172556919918731,385.027346
37,AdultCensus,0.0,0.8520439500443595,0.1784091318957631,387.565843
38,AdultCensus,0.0,0.8512932505289019,0.1681024250971345,387.664163
39,AdultCensus,0.0,0.8416706476489456,0.1335561948313158,388.94883
40,AdultCensus,0.0,0.8495188698560022,0.16029559941857,389.06754300000006
41,AdultCensus,0.0,0.8509520234764212,0.1679212208702825,384.34258
42,AdultCensus,0.0,0.8467208080256603,0.1167635587060389,389.559799
43,AdultCensus,0.0,0.8474715075411179,0.1967268087739501,387.386254
44,AdultCensus,0.0,0.8525216679178326,0.1676285441559084,389.3476079999999
45,AdultCensus,0.0,0.850406060192452,0.1386998801262843,387.91712300000006
46,AdultCensus,0.0,0.8540913123592438,0.1763702585338655,390.366638
47,AdultCensus,0.0,0.8507472872449328,0.1570646039955211,392.88082600000007
48,AdultCensus,0.0,0.8529311403808094,0.1784776713215686,385.028294
49,AdultCensus,0.0,0.8510202688869174,0.1358031059530879,387.55423
