seed,dataset,level,acc,disparity,time
0,ACSIncome,0.05,0.8054230499649544,0.1730654716082664,913.585833
0,ACSIncome,0.15,0.8056833884049264,0.1595918936698912,883.4001720000015
0,ACSIncome,0.25,0.8048843496545509,0.1624536925207233,958.3399690000006
0,ACSIncome,0.35,0.8049504355662361,0.1591348120467586,1089.2162949999984
0,ACSIncome,0.45,0.8053749874837288,0.1560889490675933,985.2234890000036
0,ACSIncome,0.55,0.8033683788925603,0.1462204706889412,973.0357150000054
0,ACSIncome,0.65,0.8026354260538701,0.1422271427606531,967.362251000006
0,ACSIncome,0.75,0.8019745669370181,0.1039340862036599,966.167284999996
0,ACSIncome,0.8500000000000001,0.8011454891358767,0.1212256291862499,968.3218980000092
0,ACSIncome,0.95,0.8016321217582858,0.1001395790752452,972.9311420000012
1,ACSIncome,0.05,0.8063402423150096,0.1720837794212289,890.7690950000001
1,ACSIncome,0.15,0.8060839090818064,0.1680173624959316,879.946949000001
1,ACSIncome,0.25,0.8066646640632823,0.1740558141670437,947.1031610000028
1,ACSIncome,0.35,0.8058756383298288,0.1632312925206159,1090.0096660000015
1,ACSIncome,0.45,0.8066186041854411,0.152872117347469,982.6271960000012
1,ACSIncome,0.55,0.8044718133573646,0.1251572720971355,955.198583999998
1,ACSIncome,0.65,0.803933113046961,0.1251222861036642,1022.8136620000004
1,ACSIncome,0.75,0.8039811755281866,0.1102042329855074,966.7529140000042
1,ACSIncome,0.8500000000000001,0.8035305897666967,0.1158345171361869,953.8061569999992
1,ACSIncome,0.95,0.8030279363172124,0.1153445410715746,974.5545669999848
2,ACSIncome,0.05,0.806151997596876,0.1904315806712507,910.1708069999996
2,ACSIncome,0.15,0.8053429458295784,0.1714901010098812,883.7748030000002
2,ACSIncome,0.25,0.8061740262341044,0.1534525882235845,952.8584670000018
2,ACSIncome,0.35,0.8051607089215981,0.158455608067549,1094.844345000005
2,ACSIncome,0.45,0.8055331931510964,0.1502883389956734,975.8233529999998
2,ACSIncome,0.55,0.8003424451787323,0.132827390478025,959.3298680000008
2,ACSIncome,0.65,0.7978792430159207,0.1090128071281539,1022.4100729999992
2,ACSIncome,0.75,0.8017703013918094,0.1088428109094338,953.7433020000026
2,ACSIncome,0.8500000000000001,0.7995674376689696,0.0938149057526692,964.1295459999964
2,ACSIncome,0.95,0.7998357865224792,0.1238210035337441,969.2658130000054
3,ACSIncome,0.05,0.8061680184239511,0.1921999157243056,878.3961850000005
3,ACSIncome,0.15,0.8051006308200661,0.160354013177339,873.6922169999998
3,ACSIncome,0.25,0.8054490838089516,0.1613282572117256,951.6964209999968
3,ACSIncome,0.35,0.8057074196455392,0.1455330730652284,1076.783736999998
3,ACSIncome,0.45,0.8052267948332833,0.1249877945422225,963.6274639999974
3,ACSIncome,0.55,0.8020066085911686,0.1066325120265231,959.6496039999984
3,ACSIncome,0.65,0.8016581556022829,0.1232870813104532,1009.0117440000032
3,ACSIncome,0.75,0.8011935516171023,0.103617461382427,952.1954990000012
3,ACSIncome,0.8500000000000001,0.7994512866726745,0.0901665374761072,953.566691
3,ACSIncome,0.95,0.8000160208270752,0.0951450741822064,1002.6962400000048
4,ACSIncome,0.05,0.8062300991288676,0.1538118093008548,880.5649129999993
4,ACSIncome,0.15,0.8063001902473215,0.1614532221107233,875.1611940000003
4,ACSIncome,0.25,0.806568539100831,0.1658616813285512,943.2011099999982
4,ACSIncome,0.35,0.8053489536397317,0.1495322588973991,1060.9744189999983
4,ACSIncome,0.45,0.8061640132171823,0.1450198253294717,968.7253869999986
4,ACSIncome,0.55,0.8041634124361671,0.1197947043711923,1033.0563040000052
