Unnamed: 0,seed,dataset,alpha,acc,disparity,time
0,0,AdultCensus,0.2,0.851361495939398,0.1434381763038855,381.688822
0,0,AdultCensus,0.45,0.8529993857913055,0.1188526402945658,391.5326910000001
0,0,AdultCensus,0.7,0.8501330785504675,0.0934705108949316,395.877896
0,0,AdultCensus,0.95,0.8453558998157374,0.0697543368429269,405.2768460000002
0,0,AdultCensus,1.2,0.8433085375008531,0.0569738641661809,410.3832520000001
0,0,AdultCensus,1.45,0.8460383539206988,0.0669286796701661,410.9080409999997
0,0,AdultCensus,1.7,0.8431038012693647,0.0519681505327339,397.6449149999999
0,0,AdultCensus,1.95,0.8452194089947451,0.0534645643517113,405.792586999999
0,0,AdultCensus,2.2,0.8439909916058145,0.0507561384314974,402.54346200000055
0,0,AdultCensus,2.45,0.8417388930594417,0.0436495576602765,400.7164840000005
0,1,AdultCensus,0.2,0.8493141336245138,0.1529151601844273,383.069113
0,1,AdultCensus,0.45,0.8493141336245138,0.1269919394447709,389.67018600000006
0,1,AdultCensus,0.7,0.8452876544052412,0.1399988518424596,400.6813750000001
0,1,AdultCensus,0.95,0.8489046611615368,0.1157647134153224,402.093484
0,1,AdultCensus,1.2,0.8496553606769944,0.1005241663962886,411.6178960000002
0,1,AdultCensus,1.45,0.847539752951614,0.0826267651129505,406.4383879999996
0,1,AdultCensus,1.7,0.8415341568279533,0.0592744133640475,405.9182340000007
0,1,AdultCensus,1.95,0.8495871152664983,0.0881894238914964,406.7627749999992
0,1,AdultCensus,2.2,0.8453558998157374,0.0736318450140858,406.2873580000005
0,1,AdultCensus,2.45,0.8432402920903569,0.0816297830547469,403.1848869999994
0,2,AdultCensus,0.2,0.8490411519825292,0.1390586659266665,385.867762
0,2,AdultCensus,0.45,0.8427625742168839,0.1091723505158133,392.8235030000001
0,2,AdultCensus,0.7,0.8463795809731796,0.0917152862212036,397.9846090000001
0,2,AdultCensus,0.95,0.8445369548897836,0.0694068729159237,402.7999189999996
0,2,AdultCensus,1.2,0.8355285607042926,0.0497091235820062,412.6337160000003
0,2,AdultCensus,1.45,0.836142769398758,0.0483370259390072,405.1678890000003
0,2,AdultCensus,1.7,0.8373711867876885,0.0425514014217112,402.0900580000007
0,2,AdultCensus,1.95,0.8377124138401693,0.0384558988113219,408.5920329999999
0,2,AdultCensus,2.2,0.8369617143247117,0.0389468588047062,399.2418230000003
0,2,AdultCensus,2.45,0.8359380331672696,0.0272109141059395,398.39304099999936
0,3,AdultCensus,0.2,0.8467208080256603,0.1749684195657989,381.867649
0,3,AdultCensus,0.45,0.8498600969084829,0.1084289163046965,391.365078
0,3,AdultCensus,0.7,0.849450624445506,0.1061347107235588,400.2962920000002
0,3,AdultCensus,0.95,0.8467890534361564,0.0739645132004261,404.6505860000002
0,3,AdultCensus,1.2,0.8477444891831024,0.078925478325888,412.9006790000003
0,3,AdultCensus,1.45,0.8454923906367297,0.0572737385356417,408.18493600000056
0,3,AdultCensus,1.7,0.8453558998157374,0.0696149483060631,399.802588999999
0,3,AdultCensus,1.95,0.839009076639596,0.0309688449096188,401.38992700000017
0,3,AdultCensus,2.2,0.84283081962738,0.0351977892876797,403.4520110000003
0,3,AdultCensus,2.45,0.8407152119019996,0.0411758781990747,401.3177540000006
0,4,AdultCensus,0.2,0.8498600969084829,0.1464026090911958,381.8325850000001
