seed,dataset,epsilon,acc,disparity,time
0,Lawschool,0.001,0.7912410270568746,0.0002894930812238,143.5231113433838
0,Lawschool,0.005,0.7916551628934291,0.0019853054661813,109.67381882667542
0,Lawschool,0.009,0.7922763666482606,0.0236015923421101,120.66411519050598
0,Lawschool,0.013,0.7922763666482606,0.0236015923421101,120.30072331428528
0,Lawschool,0.017,0.7922763666482606,0.0236015923421101,144.01926064491272
0,Lawschool,0.021,0.7922763666482606,0.0236015923421101,158.10983324050903
0,Lawschool,0.025,0.7918967421314191,0.0315833938573135,140.0436351299286
0,Lawschool,0.029,0.7918967421314191,0.0315833938573135,122.53560853004456
0,Lawschool,0.033,0.7923799006073993,0.0483106222676679,125.6800549030304
0,Lawschool,0.037,0.7924489232468249,0.0485651399566473,128.87129402160645
1,Lawschool,0.001,0.7879624516841524,0.0197972233064446,142.09500980377197
1,Lawschool,0.005,0.7879624516841524,0.0197972233064446,124.27662539482117
1,Lawschool,0.009,0.7879624516841524,0.0197972233064446,121.02446508407591
1,Lawschool,0.013,0.7879624516841524,0.0197972233064446,123.0806918144226
1,Lawschool,0.017,0.7879624516841524,0.0197972233064446,186.53046369552607
1,Lawschool,0.021,0.7879624516841524,0.0197972233064446,160.88521718978882
1,Lawschool,0.025,0.7892048591938156,0.0457416971797826,188.32733130455017
1,Lawschool,0.029,0.7892048591938156,0.0457416971797826,205.12626123428345
1,Lawschool,0.033,0.788859745996687,0.0477919423689329,192.76652908325195
1,Lawschool,0.037,0.7888252346769741,0.0463684164467244,213.26900100708008
2,Lawschool,0.001,0.7866165102153506,0.0093575453346637,110.6102557182312
2,Lawschool,0.005,0.7866165102153506,0.0093575453346637,118.94938921928406
2,Lawschool,0.009,0.7867200441744893,0.0098635215519333,99.17634749412537
2,Lawschool,0.013,0.7867200441744893,0.0098635215519333,97.54917454719543
2,Lawschool,0.017,0.7885491441192711,0.0271228436436655,168.76981616020203
2,Lawschool,0.021,0.7885491441192711,0.0271228436436655,176.73669123649597
2,Lawschool,0.025,0.7885491441192711,0.0271228436436655,163.15830636024475
2,Lawschool,0.029,0.788859745996687,0.0297773963391836,173.47578835487366
2,Lawschool,0.033,0.7887562120375483,0.0457783314186701,146.15928745269775
2,Lawschool,0.037,0.7887562120375483,0.0457783314186701,170.12259531021118
3,Lawschool,0.001,0.7870651573716179,0.0145255279708501,163.06549501419067
3,Lawschool,0.005,0.7875138045278851,0.0116404973093298,141.13367748260498
3,Lawschool,0.009,0.7874792932081722,0.0030336735861134,137.86796617507937
3,Lawschool,0.013,0.7887217007178354,0.0238987773506078,118.50482177734376
3,Lawschool,0.017,0.7873067366096079,0.0013778195848992,161.93672108650208
3,Lawschool,0.021,0.7885491441192711,0.0348183965575085,196.8949851989746
3,Lawschool,0.025,0.7885491441192711,0.0348183965575085,141.74774050712583
3,Lawschool,0.029,0.7885491441192711,0.0348183965575085,141.42720675468445
3,Lawschool,0.033,0.7893083931529542,0.0488521688421352,128.55797505378723
3,Lawschool,0.037,0.7897225289895086,0.0599697316462001,146.5042326450348
4,Lawschool,0.001,0.7877553837658752,0.0092810494274099,115.04195046424866
4,Lawschool,0.005,0.7877553837658752,0.0092810494274099,100.49589943885805
4,Lawschool,0.009,0.7877553837658752,0.0092810494274099,111.21544027328493
4,Lawschool,0.013,0.7877208724461623,0.0092339883892434,145.86973214149475
4,Lawschool,0.017,0.7898950855880729,0.0507682871310205,161.38000345230105
4,Lawschool,0.021,0.7898950855880729,0.0507682871310205,169.97479820251465
4,Lawschool,0.025,0.7898950855880729,0.0507682871310205,173.13256978988647
4,Lawschool,0.029,0.7898950855880729,0.0507682871310205,158.11215710639954
4,Lawschool,0.033,0.7897915516289343,0.0500035498286651,145.17768716812134
4,Lawschool,0.037,0.7897915516289343,0.0500035498286651,124.84403777122498
5,Lawschool,0.001,0.7869271120927664,0.0328172710913827,110.78356647491456
5,Lawschool,0.005,0.7869271120927664,0.0328172710913827,97.22861337661745
5,Lawschool,0.009,0.7864439536167863,0.0187615580508981,110.8216552734375
5,Lawschool,0.013,0.7869271120927664,0.0328172710913827,123.18964791297913
5,Lawschool,0.017,0.7869271120927664,0.0328172710913827,134.53338503837583
5,Lawschool,0.021,0.7869271120927664,0.0328172710913827,173.65729522705078
5,Lawschool,0.025,0.7869271120927664,0.0328172710913827,145.35871410369873
5,Lawschool,0.029,0.7879969630038652,0.0546541313546389,144.40484428405762
5,Lawschool,0.033,0.7879969630038652,0.0546541313546389,148.29713416099548
5,Lawschool,0.037,0.7882040309221424,0.0641940556153754,161.4606294631958
6,Lawschool,0.001,0.7849944781888459,0.0066547407472434,144.8651945590973
6,Lawschool,0.005,0.7849944781888459,0.0066547407472434,125.19778394699097
6,Lawschool,0.009,0.7860988404196576,0.0210598963579077,124.19092154502869
6,Lawschool,0.013,0.7860988404196576,0.0210598963579077,124.02601599693298
6,Lawschool,0.017,0.7853395913859746,0.0176557032473785,166.01549625396729
6,Lawschool,0.021,0.7858227498619548,0.0215258110189812,204.94804906845093
6,Lawschool,0.025,0.7855811706239647,0.020874863690335,114.4339017868042
6,Lawschool,0.029,0.7874102705687466,0.0507695690653646,166.07351756095886
6,Lawschool,0.033,0.7874102705687466,0.0507695690653646,164.2846360206604
6,Lawschool,0.037,0.7874102705687466,0.0507695690653646,145.3465313911438
7,Lawschool,0.001,0.7883765875207068,0.000943588602143,151.16469264030457
7,Lawschool,0.005,0.7898260629486472,0.0237125018094051,132.62486910820007
7,Lawschool,0.009,0.7902747101049145,0.0237749148697207,128.53697514533997
7,Lawschool,0.013,0.7902747101049145,0.0237749148697207,144.04535293579102
7,Lawschool,0.017,0.7904817780231916,0.0300553451438897,192.07470035552976
7,Lawschool,0.021,0.7902747101049145,0.0249703468163812,204.93144297599792
7,Lawschool,0.025,0.7924834345665378,0.0630502647037853,195.63918352127075
7,Lawschool,0.029,0.7924834345665378,0.0630502647037853,173.03230810165405
7,Lawschool,0.033,0.7924834345665378,0.0630502647037853,155.04518175125122
7,Lawschool,0.037,0.7924834345665378,0.0630502647037853,170.99820733070374
8,Lawschool,0.001,0.7893774157923799,0.0078889626252487,154.7594609260559
8,Lawschool,0.005,0.7893774157923799,0.0078889626252487,135.14981698989868
8,Lawschool,0.009,0.7893774157923799,0.0078889626252487,134.29129242897034
8,Lawschool,0.013,0.7899986195472115,0.0275569740592085,147.64473366737366
8,Lawschool,0.017,0.7899986195472115,0.0275569740592085,157.42080998420715
8,Lawschool,0.021,0.7899986195472115,0.0275569740592085,171.1924786567688
8,Lawschool,0.025,0.7902401987852016,0.038226385252274,145.15201902389526
8,Lawschool,0.029,0.7902401987852016,0.038226385252274,175.21827840805054
8,Lawschool,0.033,0.7900331308669244,0.0376998013903866,145.37274551391602
8,Lawschool,0.037,0.7902401987852016,0.038226385252274,114.47555470466614
9,Lawschool,0.001,0.7894464384318056,0.004681417960523,140.45430207252502
9,Lawschool,0.005,0.7894464384318056,0.004681417960523,153.48506903648376
9,Lawschool,0.009,0.7897570403092214,0.0219761217574008,149.37787342071533
9,Lawschool,0.013,0.7895154610712314,0.0229600066688311,166.8376531600952
9,Lawschool,0.017,0.7896535063500828,0.0228874614267147,185.65693497657776
9,Lawschool,0.021,0.7908268912203202,0.0382613547808681,207.20169115066528
9,Lawschool,0.025,0.7908614025400331,0.037452358559475,198.262953042984
9,Lawschool,0.029,0.7908614025400331,0.037452358559475,163.936758518219
9,Lawschool,0.033,0.7912755383765875,0.0493681071588477,128.6558187007904
9,Lawschool,0.037,0.7912755383765875,0.0493681071588477,148.53742003440857
10,Lawschool,0.001,0.7894809497515185,0.001324850530674,150.8945803642273
10,Lawschool,0.005,0.7894809497515185,0.001324850530674,141.16346383094788
10,Lawschool,0.009,0.7889977912755384,0.0025365369463455,114.2723581790924
10,Lawschool,0.013,0.7889977912755384,0.0025365369463455,148.23613286018372
10,Lawschool,0.017,0.7906543346217559,0.0451684136940165,166.5795700550079
10,Lawschool,0.021,0.7906543346217559,0.0451684136940165,208.0954070091248
10,Lawschool,0.025,0.7890668139149641,0.0103500749277758,150.41361165046692
10,Lawschool,0.029,0.7908268912203202,0.0432944468476262,134.933443069458
10,Lawschool,0.033,0.7907578685808946,0.0737290279472879,100.69217538833618
10,Lawschool,0.037,0.7907578685808946,0.0737290279472879,137.64325523376465
11,Lawschool,0.001,0.7873757592490337,0.0032458464810823,141.6071970462799
11,Lawschool,0.005,0.7873757592490337,0.0032458464810823,131.86097025871277
11,Lawschool,0.009,0.7873067366096079,0.0035217849004527,109.9211814403534
11,Lawschool,0.013,0.7873067366096079,0.0035217849004527,109.54384064674376
11,Lawschool,0.017,0.7877208724461623,0.0011726654240896,162.04983472824097
11,Lawschool,0.021,0.7875138045278851,0.0028939897815719,218.43166279792783
11,Lawschool,0.025,0.7889977912755384,0.0578149821605095,181.74894261360168
11,Lawschool,0.029,0.7884456101601325,0.0400829636713968,175.56115174293518
11,Lawschool,0.033,0.788583655438984,0.0569226873650434,184.8784236907959
11,Lawschool,0.037,0.788583655438984,0.0569226873650434,184.6853494644165
12,Lawschool,0.001,0.7858572611816675,0.0121176423591367,142.00546789169312
12,Lawschool,0.005,0.7858572611816675,0.0121176423591367,132.84034299850464
12,Lawschool,0.009,0.7854086140254003,0.0072589897597611,113.1553475856781
12,Lawschool,0.013,0.7851325234676974,0.0078754658144891,142.60054564476013
12,Lawschool,0.017,0.7855466593042518,0.0061781532260874,157.04783535003662
12,Lawschool,0.021,0.7866165102153506,0.0530097526142739,169.1835970878601
12,Lawschool,0.025,0.7866165102153506,0.0530097526142739,166.6127412319183
12,Lawschool,0.029,0.7866165102153506,0.0530097526142739,169.23439121246338
12,Lawschool,0.033,0.7862368856985091,0.0527050722069374,120.4137008190155
12,Lawschool,0.037,0.7862368856985091,0.0527050722069374,134.82108998298645
13,Lawschool,0.001,0.7874792932081722,0.0069776677735181,147.0161099433899
13,Lawschool,0.005,0.7886526780784097,0.0030920027104746,141.9496443271637
13,Lawschool,0.009,0.788859745996687,0.0223128868854361,143.41292142868042
13,Lawschool,0.013,0.7879279403644396,0.0006656619480677,154.16029334068298
13,Lawschool,0.017,0.7881350082827168,0.007457615857663,172.7085781097412
13,Lawschool,0.021,0.7881350082827168,0.007457615857663,186.8028745651245
13,Lawschool,0.025,0.7886871893981225,0.0108804984840522,161.95452976226807
13,Lawschool,0.029,0.788859745996687,0.0223128868854361,133.81404304504397
13,Lawschool,0.033,0.788859745996687,0.0223128868854361,137.19361639022827
13,Lawschool,0.037,0.79010215350635,0.0688156335264331,139.38758254051208
14,Lawschool,0.001,0.7890323025952513,0.0031289066588632,110.21262097358704
14,Lawschool,0.005,0.7890323025952513,0.0031289066588632,132.4402096271515
