Unnamed: 0,seed,dataset,level,acc,disparity,time
0,0,AdultCensus,0.0,0.8343001433153621,0.0039475059140197,393.543643
0,0,AdultCensus,0.02,0.8385996041766192,0.0295776527478946,391.5907189999999
0,0,AdultCensus,0.04,0.8439909916058145,0.0444509141603686,385.9145520000002
0,0,AdultCensus,0.06,0.8383948679451307,0.0252137419284173,408.15713700000015
0,0,AdultCensus,0.08,0.8479492254145908,0.0821272383993097,385.2067820000002
0,0,AdultCensus,0.1,0.8506107964239404,0.0963427710052092,389.6664930000002
0,0,AdultCensus,0.12,0.8532041220227939,0.1226016273468807,378.6717069999995
0,0,AdultCensus,0.14,0.851361495939398,0.1447709867442864,382.2511600000007
0,0,AdultCensus,0.16,0.853681839896267,0.1684885876309383,377.9128810000002
0,0,AdultCensus,0.18,0.8560021838531359,0.1687316111439143,384.2978619999994
0,1,AdultCensus,0.0,0.8396232853340613,0.0225770712348657,387.945162
0,1,AdultCensus,0.02,0.8444687094792875,0.0221155093727955,386.007034
0,1,AdultCensus,0.04,0.846106599331195,0.0442722081591904,382.4625769999998
0,1,AdultCensus,0.06,0.8463795809731796,0.0583873119227682,403.1090320000003
0,1,AdultCensus,0.08,0.8501330785504675,0.0810600067117864,382.6874039999998
0,1,AdultCensus,0.1,0.8487681703405446,0.1004619288338043,384.2916959999993
0,1,AdultCensus,0.12,0.8522486862758479,0.1296944331822084,380.2085160000006
0,1,AdultCensus,0.14,0.8504743056029482,0.1448790486472915,378.56874700000026
0,1,AdultCensus,0.16,0.8518392138128711,0.1605878009822019,377.3472020000008
0,1,AdultCensus,0.18,0.8477444891831024,0.1878401131993911,382.35050500000034
0,2,AdultCensus,0.0,0.8259742032348325,0.0058595738212871,392.355893
0,2,AdultCensus,0.02,0.830478400327578,0.0137724874023134,389.12191899999993
0,2,AdultCensus,0.04,0.8343001433153621,0.0286790824590095,380.0410670000001
0,2,AdultCensus,0.06,0.8347096157783389,0.0415365423021077,411.7090370000001
0,2,AdultCensus,0.08,0.8403739848495189,0.0769539909826641,386.8670849999999
0,2,AdultCensus,0.1,0.8425578379853955,0.1345949380391458,380.5442899999998
0,2,AdultCensus,0.12,0.8439227461953184,0.1201348066232039,387.86148199999934
0,2,AdultCensus,0.14,0.8444687094792875,0.146576563454144,380.7804239999996
0,2,AdultCensus,0.16,0.8386678495871153,0.183927638535464,380.0810590000001
0,2,AdultCensus,0.18,0.8463113355626835,0.1861928324869518,385.4525809999996
0,3,AdultCensus,0.0,0.8401692486180304,0.0151492394248346,395.198482
0,3,AdultCensus,0.02,0.8370299597352078,0.0112393659318506,393.401128
0,3,AdultCensus,0.04,0.8398962669760459,0.0398073121913143,386.28135900000007
0,3,AdultCensus,0.06,0.8428990650378761,0.053390417521342,407.9259740000002
0,3,AdultCensus,0.08,0.8454241452262335,0.0784618602843022,383.999249
0,3,AdultCensus,0.1,0.8480857162355832,0.10033414949995,383.9689550000003
0,3,AdultCensus,0.12,0.8495871152664983,0.1239230228518109,381.8881090000005
0,3,AdultCensus,0.14,0.8463113355626835,0.137659729229418,383.5952260000013
0,3,AdultCensus,0.16,0.8498600969084829,0.1579611998544151,380.16625399999975
0,3,AdultCensus,0.18,0.8535453490752747,0.1671870938484335,383.14368999999897
0,4,AdultCensus,0.0,0.8306148911485702,0.0007511274070515,390.873539
0,4,AdultCensus,0.02,0.8342318979048658,0.0231148083428016,389.572756
0,4,AdultCensus,0.04,0.8364157510407425,0.0386544343512203,388.7010399999999
0,4,AdultCensus,0.06,0.8415341568279533,0.0598047637283057,409.5509990000001
0,4,AdultCensus,0.08,0.8442639732477991,0.0722768141281946,389.137479
0,4,AdultCensus,0.1,0.8459018630997065,0.0878140396285142,384.2142380000005
0,4,AdultCensus,0.12,0.8485634341090562,0.1280781831169064,377.61959899999965
0,4,AdultCensus,0.14,0.8499965877294752,0.1353306655686658,383.438647
0,4,AdultCensus,0.16,0.8523851770968403,0.1548115047340757,381.5084769999994
0,4,AdultCensus,0.18,0.8512250051184058,0.1500150368669612,386.39062100000046
0,5,AdultCensus,0.0,0.8388043404081076,0.0114843521695137,394.194395
0,5,AdultCensus,0.02,0.8409881935439841,0.0209358250605153,389.083026
0,5,AdultCensus,0.04,0.8409881935439841,0.0441180643886222,382.02771400000006
0,5,AdultCensus,0.06,0.8454241452262335,0.0640595254383875,405.9740580000002
0,5,AdultCensus,0.08,0.8486316795195523,0.0929439069998429,389.06455600000027
0,5,AdultCensus,0.1,0.8519074592233672,0.1006720872839312,382.77205300000014
0,5,AdultCensus,0.12,0.8511567597079096,0.1231541142805984,386.763805999999
0,5,AdultCensus,0.14,0.8524534225073364,0.153917553070191,386.8115909999997
0,5,AdultCensus,0.16,0.8521121954548556,0.1535742247875418,381.3963609999992
0,5,AdultCensus,0.18,0.8548420118747014,0.1652838096010297,383.71374599999945
0,6,AdultCensus,0.0,0.8331399713369276,0.0023645682892985,390.299916
0,6,AdultCensus,0.02,0.8369617143247117,0.0086493902116069,392.76288
0,6,AdultCensus,0.04,0.8431038012693647,0.0362905535056876,385.5132590000003
0,6,AdultCensus,0.06,0.8441274824268068,0.0632030827739648,406.2428539999992
0,6,AdultCensus,0.08,0.8460383539206988,0.0886484684990599,386.3253730000001
0,6,AdultCensus,0.1,0.8454241452262335,0.088785227176188,384.12124900000026
0,6,AdultCensus,0.12,0.8468572988466526,0.1543206773844448,385.4132039999995
0,6,AdultCensus,0.14,0.8594826997884393,0.1577197245176761,383.590193
0,6,AdultCensus,0.16,0.8558656930321435,0.1677323545961529,380.520767
0,6,AdultCensus,0.18,0.8486316795195523,0.1777802241424285,387.5440859999999
0,7,AdultCensus,0.0,0.8249505220773903,0.0065668215331304,393.731654
0,7,AdultCensus,0.02,0.8372346959666962,0.0465576440116398,393.12114
0,7,AdultCensus,0.04,0.8336859346208968,0.0357813209558082,382.2825799999998
0,7,AdultCensus,0.06,0.8431038012693647,0.0648537060876001,406.6547329999999
0,7,AdultCensus,0.08,0.8438545007848223,0.1012899867268747,386.8673429999999
0,7,AdultCensus,0.1,0.8467208080256603,0.1162468788656866,386.0184589999999
0,7,AdultCensus,0.12,0.8447416911212721,0.1273272241665636,386.0855179999999
0,7,AdultCensus,0.14,0.8476762437726063,0.1457588096646814,387.85139699999945
0,7,AdultCensus,0.16,0.8504743056029482,0.1643753395718748,382.6212720000003
0,7,AdultCensus,0.18,0.8492458882140176,0.1554068939139244,379.634094
0,8,AdultCensus,0.0,0.8311608544325394,0.0043507406710331,388.57578
0,8,AdultCensus,0.02,0.8310243636115471,0.0101286921468426,390.98407999999984
0,8,AdultCensus,0.04,0.8387360949976114,0.0413419651117563,386.77619700000014
0,8,AdultCensus,0.06,0.8405104756705112,0.0523831665878951,409.79646200000025
0,8,AdultCensus,0.08,0.8420801201119225,0.0682705473989831,393.08927399999993
0,8,AdultCensus,0.1,0.8448781819422644,0.1178906367571908,388.03583400000025
0,8,AdultCensus,0.12,0.8449464273527605,0.1165954197494067,386.5198229999996
0,8,AdultCensus,0.14,0.846584317204668,0.138448750281031,381.9671950000011
0,8,AdultCensus,0.16,0.8453558998157374,0.1602267710774767,376.40270000000055
0,8,AdultCensus,0.18,0.848017470825087,0.1717121853062933,385.17682199999945
0,9,AdultCensus,0.0,0.821470006142087,0.0653790663438816,395.652289
0,9,AdultCensus,0.02,0.8379171500716577,0.0245532149606619,387.660179
0,9,AdultCensus,0.04,0.8390773220500921,0.0279223970571187,385.96759
0,9,AdultCensus,0.06,0.8426260833958916,0.0455130018868228,409.37189699999954
0,9,AdultCensus,0.08,0.8456971268682181,0.0672634056978798,388.3697699999993
0,9,AdultCensus,0.1,0.8497918514979867,0.0943149792750873,385.08125999999993
0,9,AdultCensus,0.12,0.8542278031802362,0.1043541889562148,384.2574879999993
0,9,AdultCensus,0.14,0.848017470825087,0.1280086522943295,386.7603570000001
0,9,AdultCensus,0.16,0.8517027229918788,0.1362508427901069,383.3739289999994
0,9,AdultCensus,0.18,0.8549102572851975,0.1447581296571282,383.7026060000008
0,10,AdultCensus,0.0,0.8273391114447554,0.0093353236747559,390.52285100000006
0,10,AdultCensus,0.02,0.8371664505562001,0.0286406996254387,386.8457669999998
0,10,AdultCensus,0.04,0.8415341568279533,0.0521117253665573,382.9454400000002
0,10,AdultCensus,0.06,0.8418071384699379,0.0544920786358842,404.8219939999999
0,10,AdultCensus,0.08,0.8438545007848223,0.0770911654550721,386.262722
0,10,AdultCensus,0.1,0.8486316795195523,0.1045556209480516,387.0397119999998
0,10,AdultCensus,0.12,0.8493141336245138,0.1223734602585687,386.1560990000007
0,10,AdultCensus,0.14,0.8478127345935986,0.1489278623862764,381.0517529999997
0,10,AdultCensus,0.16,0.8501330785504675,0.1586587681024664,381.3255550000004
0,10,AdultCensus,0.18,0.8467890534361564,0.1731608192109253,380.2876149999993
0,11,AdultCensus,0.0,0.8327987442844469,0.024104875797362,393.683892
0,11,AdultCensus,0.02,0.8373029413771924,0.0137625578149203,387.261555
0,11,AdultCensus,0.04,0.8431038012693647,0.0410276507718132,384.4809540000001
0,11,AdultCensus,0.06,0.8476079983621101,0.0574294946065278,410.2151170000002
0,11,AdultCensus,0.08,0.8433085375008531,0.0634972035066638,384.4857540000002
0,11,AdultCensus,0.1,0.8460383539206988,0.0796115861496937,383.5646310000002
0,11,AdultCensus,0.12,0.8473350167201256,0.0968042751616489,385.1212159999996
0,11,AdultCensus,0.14,0.847062035078141,0.1286197754402943,384.2360470000003
0,11,AdultCensus,0.16,0.847539752951614,0.1499354973361226,383.45188700000017
0,11,AdultCensus,0.18,0.8480857162355832,0.1572683940152731,386.9132589999999
0,12,AdultCensus,0.0,0.8240633317409404,0.0260267664973135,391.854209
0,12,AdultCensus,0.02,0.832866989694943,0.0131294151120759,385.885264
0,12,AdultCensus,0.04,0.8353920698833004,0.0316098809828026,380.8098089999999
0,12,AdultCensus,0.06,0.8420118747014264,0.0589336814141572,408.9726939999996
0,12,AdultCensus,0.08,0.8478127345935986,0.0868072330304164,386.7350609999999
0,12,AdultCensus,0.1,0.8474032621306217,0.0991034041455724,389.68662
0,12,AdultCensus,0.12,0.8507472872449328,0.1277067509344251,380.6618090000002
0,12,AdultCensus,0.14,0.8471985258991332,0.1452103173242059,381.42712200000005
0,12,AdultCensus,0.16,0.8485634341090562,0.15854424637426,378.7925329999998
0,12,AdultCensus,0.18,0.8500648331399714,0.1788629750709006,383.6137010000002
0,13,AdultCensus,0.0,0.8250870128983826,0.0224842130676316,392.142373
0,13,AdultCensus,0.02,0.8301371732750973,0.012210761519871,394.8256230000002
0,13,AdultCensus,0.04,0.8368252235037194,0.0419988565843223,387.6785399999999
0,13,AdultCensus,0.06,0.8296594554016242,0.0159058635261296,407.39570600000025
